target_model,target_label,query,cumulative_jailbreak_percent,cumulative_jailbreaks,total_behaviors
gemma-3n-e4b-it,Gemma-3n,1,32.0,16,50
gemma-3n-e4b-it,Gemma-3n,2,54.0,27,50
gemma-3n-e4b-it,Gemma-3n,3,60.0,30,50
gemma-3n-e4b-it,Gemma-3n,4,72.0,36,50
gemma-3n-e4b-it,Gemma-3n,5,82.0,41,50
gemma-3n-e4b-it,Gemma-3n,6,82.0,41,50
gemma-3n-e4b-it,Gemma-3n,7,84.0,42,50
gemma-3n-e4b-it,Gemma-3n,8,88.0,44,50
gemma-3n-e4b-it,Gemma-3n,9,90.0,45,50
gemma-3n-e4b-it,Gemma-3n,10,90.0,45,50
gemma-3n-e4b-it,Gemma-3n,11,90.0,45,50
gemma-3n-e4b-it,Gemma-3n,12,90.0,45,50
gemma-3n-e4b-it,Gemma-3n,13,92.0,46,50
gemma-3n-e4b-it,Gemma-3n,14,92.0,46,50
gemma-3n-e4b-it,Gemma-3n,15,92.0,46,50
gemma-3n-e4b-it,Gemma-3n,16,92.0,46,50
gemma-3n-e4b-it,Gemma-3n,17,92.0,46,50
gemma-3n-e4b-it,Gemma-3n,18,92.0,46,50
gemma-3n-e4b-it,Gemma-3n,19,94.0,47,50
gemma-3n-e4b-it,Gemma-3n,20,94.0,47,50
gemma-3n-e4b-it,Gemma-3n,21,96.0,48,50
gemma-3n-e4b-it,Gemma-3n,22,96.0,48,50
gemma-3n-e4b-it,Gemma-3n,23,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,24,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,25,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,26,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,27,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,28,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,29,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,30,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,31,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,32,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,33,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,34,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,35,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,36,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,37,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,38,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,39,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,40,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,41,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,42,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,43,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,44,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,45,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,46,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,47,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,48,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,49,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,50,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,51,98.0,49,50
gemma-3n-e4b-it,Gemma-3n,52,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,53,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,54,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,55,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,56,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,57,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,58,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,59,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,60,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,61,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,62,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,63,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,64,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,65,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,66,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,67,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,68,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,69,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,70,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,71,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,72,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,73,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,74,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,75,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,76,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,77,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,78,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,79,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,80,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,81,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,82,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,83,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,84,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,85,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,86,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,87,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,88,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,89,100.0,50,50
gemma-3n-e4b-it,Gemma-3n,90,100.0,50,50
llama-3-8b-instruct-lite,Llama-3-8B,1,14.0,7,50
llama-3-8b-instruct-lite,Llama-3-8B,2,26.0,13,50
llama-3-8b-instruct-lite,Llama-3-8B,3,26.0,13,50
llama-3-8b-instruct-lite,Llama-3-8B,4,30.0,15,50
llama-3-8b-instruct-lite,Llama-3-8B,5,32.0,16,50
llama-3-8b-instruct-lite,Llama-3-8B,6,34.0,17,50
llama-3-8b-instruct-lite,Llama-3-8B,7,40.0,20,50
llama-3-8b-instruct-lite,Llama-3-8B,8,44.0,22,50
llama-3-8b-instruct-lite,Llama-3-8B,9,44.0,22,50
llama-3-8b-instruct-lite,Llama-3-8B,10,50.0,25,50
llama-3-8b-instruct-lite,Llama-3-8B,11,54.0,27,50
llama-3-8b-instruct-lite,Llama-3-8B,12,56.0,28,50
llama-3-8b-instruct-lite,Llama-3-8B,13,58.0,29,50
llama-3-8b-instruct-lite,Llama-3-8B,14,58.0,29,50
llama-3-8b-instruct-lite,Llama-3-8B,15,58.0,29,50
llama-3-8b-instruct-lite,Llama-3-8B,16,60.0,30,50
llama-3-8b-instruct-lite,Llama-3-8B,17,62.0,31,50
llama-3-8b-instruct-lite,Llama-3-8B,18,64.0,32,50
llama-3-8b-instruct-lite,Llama-3-8B,19,68.0,34,50
llama-3-8b-instruct-lite,Llama-3-8B,20,68.0,34,50
llama-3-8b-instruct-lite,Llama-3-8B,21,70.0,35,50
llama-3-8b-instruct-lite,Llama-3-8B,22,70.0,35,50
llama-3-8b-instruct-lite,Llama-3-8B,23,70.0,35,50
llama-3-8b-instruct-lite,Llama-3-8B,24,70.0,35,50
llama-3-8b-instruct-lite,Llama-3-8B,25,74.0,37,50
llama-3-8b-instruct-lite,Llama-3-8B,26,74.0,37,50
llama-3-8b-instruct-lite,Llama-3-8B,27,74.0,37,50
llama-3-8b-instruct-lite,Llama-3-8B,28,76.0,38,50
llama-3-8b-instruct-lite,Llama-3-8B,29,76.0,38,50
llama-3-8b-instruct-lite,Llama-3-8B,30,76.0,38,50
llama-3-8b-instruct-lite,Llama-3-8B,31,76.0,38,50
llama-3-8b-instruct-lite,Llama-3-8B,32,78.0,39,50
llama-3-8b-instruct-lite,Llama-3-8B,33,78.0,39,50
llama-3-8b-instruct-lite,Llama-3-8B,34,78.0,39,50
llama-3-8b-instruct-lite,Llama-3-8B,35,78.0,39,50
llama-3-8b-instruct-lite,Llama-3-8B,36,78.0,39,50
llama-3-8b-instruct-lite,Llama-3-8B,37,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,38,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,39,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,40,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,41,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,42,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,43,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,44,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,45,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,46,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,47,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,48,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,49,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,50,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,51,80.0,40,50
llama-3-8b-instruct-lite,Llama-3-8B,52,82.0,41,50
llama-3-8b-instruct-lite,Llama-3-8B,53,82.0,41,50
llama-3-8b-instruct-lite,Llama-3-8B,54,84.0,42,50
llama-3-8b-instruct-lite,Llama-3-8B,55,84.0,42,50
llama-3-8b-instruct-lite,Llama-3-8B,56,86.0,43,50
llama-3-8b-instruct-lite,Llama-3-8B,57,86.0,43,50
llama-3-8b-instruct-lite,Llama-3-8B,58,86.0,43,50
llama-3-8b-instruct-lite,Llama-3-8B,59,86.0,43,50
llama-3-8b-instruct-lite,Llama-3-8B,60,86.0,43,50
llama-3-8b-instruct-lite,Llama-3-8B,61,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,62,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,63,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,64,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,65,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,66,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,67,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,68,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,69,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,70,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,71,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,72,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,73,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,74,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,75,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,76,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,77,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,78,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,79,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,80,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,81,88.0,44,50
llama-3-8b-instruct-lite,Llama-3-8B,82,90.0,45,50
llama-3-8b-instruct-lite,Llama-3-8B,83,90.0,45,50
llama-3-8b-instruct-lite,Llama-3-8B,84,90.0,45,50
llama-3-8b-instruct-lite,Llama-3-8B,85,90.0,45,50
llama-3-8b-instruct-lite,Llama-3-8B,86,90.0,45,50
llama-3-8b-instruct-lite,Llama-3-8B,87,90.0,45,50
llama-3-8b-instruct-lite,Llama-3-8B,88,90.0,45,50
llama-3-8b-instruct-lite,Llama-3-8B,89,90.0,45,50
llama-3-8b-instruct-lite,Llama-3-8B,90,90.0,45,50
